id	doc	text
1	2311570.1_Magisterskaya dissertaciya DvoychenkovPA podpisano.json	"  
Тема поддержки несырьевого экспорта Российской Федерации только 
набирает силу и приобретает свою актуальность переняв инициативу от курса 
страны, направленного на стратегию импортозамещения, которая активно 
продвигалась государством в последние несколько лет. В настоящее время как никогда необходимо выявление и анализ 
существующих проблем экспортно-ориентированных компаний, разработка и 
продвижение новых мер поддержки как для начинающих, так и для 
действующих экспортеров. Предметом исследования выпускной квалификационной работы является 
процесс поддержки экспорта Московской области в системе поддержки 
несырьевого экспорта Российской Федерации. Объектом исследования являются государственные меры поддержки 
начинающих и действующих экспортеров Московской области в системе 
поддержки несырьевого экспорта Российской Федерации. Целью работы является определение наиболее эффективных 
существующих мер поддержки экспорта и разработка результативных мер 
поддержки экспорта Московской области. Задачами работы являются: 
– анализ  действующих государственных мер поддержки несырьевого 
экспорта; 
– выявление неэффективных мер поддержки экспортеров;  
– исследование  проблем, затрудняющих экспорт российской продукции 
на иностранные рынки, с которыми сталкиваются экспортеры; 
– разработка  результативных  мер  поддержки  экспортеров 
с представлением инструментария для их реализации."
2	2311570.1_Magisterskaya dissertaciya DvoychenkovPA podpisano.json	" Развитие экспорта входит в ключевые задачи российской экономической 
политики. На протяжении нескольких лет Российская Федерация активно 
поддерживает экспорт российской продукции. В этих целях в России были также 
созданы институты, которые предоставляют предприятиям информацию о 
развитии международных рынков, оказывают консультационную поддержку, а 
                                                           
также предоставляют деловые контакты и информацию об экспортных 
возможностях. Кроме того, предприятиям предоставляется страховое покрытие и 
гарантии, защищающие предприятия, поставляющие российскую продукцию на 
экспорт, от невыплат, а также упрощающие финансирование экспорта. В России действуют такие организации, как АО «РЭЦ» и 
АО «Росэксимбанк», которые выполняют функции по поддержке 
внешнеэкономической деятельности экспортеров. АО «РЭЦ» осуществляет консультационную и информационную 
поддержку экспортно-ориентированных компаний и индивидуальных 
предпринимателей в ходе реализации экспортных сделок, помогает выводу на 
экспорт промышленных и сельскохозяйственных товаров, а также страховую 
поддержку экспорта товаров и услуг российского производства. "
3	2311570.1_Magisterskaya dissertaciya DvoychenkovPA podpisano.json	" В 2020 году АО «Росэксимбанк» в ходе развития поддержки несырьевого 
неэнергетического экспорта продемонстрировал рост финансовых показателей 
по целому ряду направлений: 434 экспортера получили поддержку со стороны 
Банка. Рост количества поддержанных экспортеров составил более 40% 
в сравнении с 2019 годом. В 2019 году финансирование АО «Росэксимбанк» 
составило почти 74 млрд руб. Объем экспорта с учетом услуг по страховому 
покрытию АО «ЭКСАР» составил почти 150 млрд руб. Кредитный портфель 
поддержки экспорта по состоянию на конец 2020 увеличился до 210 млрд руб. 
Внебалансовые обязательства по гарантиям и подтвержденным аккредитивам по 
итогам 2020 года составили 14,9 млрд руб. 
Государственная корпорация развития «Внешэкономбанк» координирует 
деятельность государственных институтов развития по вопросам поддержки 
экспорта продукции российского производства. В регионах совместно с центрами «Мой бизнес» содействие бизнесу 
оказывают центры поддержки экспорта. В них предприниматели могут получить 
финансовую и нефинансовую поддержку, позволяющую увеличить географию 
поставок и расширить бизнес. Они помогают не только принять участие в 
зарубежных выставках, но и получить самые различные услуги включая 
юридическое и лингвистическое сопровождение экспортных контрактов и 
логистической поддержки."
4	2311570.1_Magisterskaya dissertaciya DvoychenkovPA podpisano.json	" Среди критериев – 
количество заключённых субъектами малого и среднего предпринимательства 
экспортных контрактов, количество привлеченных в экспортную деятельность 
новых экспортёров, объем поддержанного экспорта, а также расширение 
географии стран, с которыми удалось договориться о поставках. Ежеквартально 
центры поддержки экспорта отчитываются о том, удалось ли достичь 
намеченного, в настоящее время вводится система ежемесячного контроля и 
отчетности. Наряду с прямой поддержкой экспорта через государственные институты, 
Правительство Российской Федерации предоставляет субсидии всем 
предприятиям, развивающим экспорт российской продукции. Производители 
экспортных товаров имеют право на получение различных субсидий, в 
частности, субсидий на компенсацию затрат на научно-исследовательскую 
деятельность, компенсацию затрат на приобретение оборудования или затрат на 
инвестиции в инфраструктуру и пр. Банки, финансирующие экспортные сделки, 
имеют право на субсидирование недополученных доходов по экспортным 
кредитам,  выдаваемым  в  рамках  обеспечения  международной 
конкурентоспособности. Непосредственно экспортеры могут претендовать, 
например, на получение субсидий на покрытие транспортных расходов. В меры государственной поддержки экспорта входят следующие 
федеральные программы: 
 "
5	2311570.1_Magisterskaya dissertaciya DvoychenkovPA podpisano.json	" 2Постановление Правительства РФ № 1368 от 15 декабря 2016 г. «О государственной 
поддержке российских производителей в целях компенсации части затрат, связанных с 
регистрацией на внешних рынках объектов интеллектуальной собственности». Официальный 
сайт Правительства Российской Федерации: http://government.ru/. Налоговые меры поддержки экспорта включают возмещение экспортного 
НДС, освобождение от экспортного НДС на услуги, а также освобождение от 
уплаты налогов и сборов при ввозе технологического оборудования и 
комплектующих в целях развития производства в Российской Федерации. Поддержка экспорта путем оказания российским экспортерам широкого 
спектра банковских услуг: кредитование, участие в облигационных выпусках, 
предоставление гарантий, документарные операции. Целью страховой и кредитно-гарантийной поддержки экспортеров 
является развитие экспортной деятельности и создание условий для упрощения 
доступа российских предприятий-экспортеров на иностранные рынки. Деятельность реализуется страхованием инвестиций и экспортных кредитов от 
предпринимательских и политических рисков. Являясь поставщиком товаров и услуг на международный рынок, страна 
демонстрирует всему миру свои возможности, показывает себя, как надежного 
партнера, с которым можно выстраивать долгосрочные доверительные 
отношения. Экспорт стимулирует производство товаров, работ и услуг, ускоряет 
темпы развития экономики и рост ВВП, обеспечивает приток иностранного 
капитала в страну, является источником поступления средств в бюджет, 
укрепляет национальную валюту. Особое внимание уделяется поддержке и защите российских участников 
внешнеэкономической деятельности, экспортирующих товары, услуги, работы и 
технологии несырьевых, в том числе высокотехнологичных и инновационных, 
секторов экономики в рамках создания благоприятной для экспортёров 
регуляторной среды."
6	2311570.1_Magisterskaya dissertaciya DvoychenkovPA podpisano.json	" АО «РЭЦ» оказывает финансовую и нефинансовую поддержку экспортно-
ориентированного бизнеса по страхованию внешнеэкономических сделок от 
коммерческих и политических рисков, оказывает информационное и 
консультационное содействие экспортерам, участвующим в международных 
тендерах, содействует в подборе зарубежных покупателей, организует или 
проводит самостоятельно консультации в области сертификации, омологации, 
патентования, таможенного сопровождения, логистики, возврата НДС, 
обеспечивает экспортное кредитование начинающих и действующих 
экспортеров. Для целей поддержки экспортно-ориентированного бизнеса Центр 
генерирует аналитическую экспортную базу, в которую входит детальный обзор 
иностранных рынков как в разрезе макрорегионов и стран, так и отраслей, а 
также кодов ТН ВЭД в разрезе вывозных и ввозных пошлин, что является 
основными критериями выбора иностранных рынков сбыта. АО «РЭЦ» обеспечивает поддержку начинающих и действующих 
экспортеров оказывая на условиях софинансирования маркетинговые 
исследования потенциальных рынков сбыта, обеспечивая участие в зарубежных 
тендерных процедурах, выставочных мероприятиях, деловых зарубежных 
поездках для встреч с потенциальными покупателями, размещение продукции на 
площадках электронной торговли. Инструментом поддержки экспортеров является софинансирование 
прохождения процедуры соответствия продукции экспортеров обязательным 
международным требованиям и стандартам, а именно получение декларации 
соответствия, сертификации, лицензирования. "
7	2311570.1_Magisterskaya dissertaciya DvoychenkovPA podpisano.json	" Региональные меры продвижения экспортеров на зарубежные рынки 
осуществляются созданными при правительстве каждого российского региона 
центрами поддержки экспорта. Большинство оказываемых экспортерам услуг в 
целом совпадает с федеральными за исключением взаимодействия с банками и 
страховыми компаниями. Экспортерам  оказываются  следующие  меры  поддержки:  
- оценка зарубежных рынков;  
- поиск потенциальных иностранных покупателей; 
- верхнеуровневый поиск партнера; 
- подготовка презентации; 
- сопровождение переговоров; 
- размещение продукции на электронных торговых площадках;  
- поддержка участия в международных выставочных мероприятиях; 
 - поддержка участия в международных деловых миссиях; 
- перевод документов на язык страны-импортера; 
- разработка коммерческого предложения и презентаций; 
- патентная правовая защита и защита товарных знаков в иностранных 
государствах;  
- лицензирование;  
- оценка нематериальных активов; 
- юридические услуги по защите интеллектуальной собственности;  
- размещение продукции компании в дегустационно-демонстрационном 
павильоне в иностранном государстве; 
- компенсация по экспортным кредитам коммерческих банков; 
- страхование отсрочки платежа; 
- страхование международного лизинга; 
- страхование кредита на пополнение оборотных средств экспортера; 
- страхование экспортного факторинга;  "
8	2311570.1_Magisterskaya dissertaciya DvoychenkovPA podpisano.json	" Эти риски возможно минимизировать. Решение выходить на внешние 
рынки должно быть взвешенным и информированным, а в идеальной ситуации – 
базироваться на объективном анализе. АО «РЭЦ» содействует экспортерам в 
получении качественной маркетинговой информации по интересующим 
зарубежным рынкам. Аналитическая информация будет полезна как 
действующим экспортерам, так и компаниям, которые планируют заняться 
экспортной деятельностью. АО «РЭЦ» оказывает содействие в написании технического задания на 
маркетинговое исследование, помогает с определением критериев выбора 
организации исполнителя, а также сопровождает весь процесс подготовки 
итогового отчета, включая его оценку на соответствие условиям технического 
задания, обеспечивая высокое качество маркетинговых исследований. Результатом маркетингового исследования, в зависимости от потребностей 
заказчика, является отчет с информацией о целевых страновых рынках, о модели 
дистрибуции и потенциальных импортерах и о таможенной политике стран. Маркетинговое исследование включает предоставление информации об 
объеме рынка целевого товара, потребителях и особенностях потребления, 
основных брендах и товарных заменителях, каналах продаж, конкурентной 
среде, ключевых участниках рынка, обзор продвижения и потенциальный спрос, 
включая перечень потенциальных компаний-импортеров целевого товара в 
страну на основе имеющихся баз данных, описание отраслевых мероприятий и 
выставок, указание ассоциаций и некоммерческих организаций участников 
рынка в целевой стране, особенности экспорта товара российского 
происхождения. "
9	2311570.1_Magisterskaya dissertaciya DvoychenkovPA podpisano.json	" Верхнеуровневый поиск партнера – это проведение предварительного 
поиска потенциальных покупателей за рубежом и передача экспортеру их 
контактных данных с указанием наименования компании, адреса, Ф.И.О. и 
должности контактного лица – это не обязательно руководитель компании, как 
правило это коммерческий или финансовый директор, телефонов, электронных 
адресов, а также кратким описанием деятельности компании. Подготовка презентации на иностранном языке. При оказании данной 
услуги представители АО «РЭЦ» исследуют продукцию экспортера, уточняют у 
него профиль потенциальных покупателей, методы продвижения продукции 
и т.д. отражая достоинства, конкурентные преимущества и выгоду для 
потенциального покупателя. При необходимости составляется сравнительная 
таблица с другими производителями. Сопровождение переговоров. В рамках оказания услуги организуется проведение переговоров от лица 
компании или участие в переговорах с потенциальными покупателями 
принимается совместно с представителями компании, проявившими интерес к 
продукции компании-экспортера. Возможна организация бизнес-миссии 
российской компании в целевую страну для проведения предметных 
переговоров с потенциальными партнерами. Для экспортера создаются условия 
для выхода на обсуждение с потенциальными контрагентами существенных 
условий экспортной сделки. Услуга часто представляет интерес для компаний, 
которые самостоятельно подыскивали потенциальных покупателей, но 
столкнувшихся с теми или иными проблемами в выстраивании коммуникации 
испытали потребность в поддержке в их преодолении. Размещение продукции на электронных торговых площадках. Поскольку российские компании осваивают электронную торговлю очень 
медленно, теряя конкурентные преимущества и рынки сбыта услуга размещения 
продукции на электронных торговых площадках является очень востребованной. "
10	2311570.1_Magisterskaya dissertaciya DvoychenkovPA podpisano.json	" В результате получения 
услуги, экспортер получает возможность установить качественные контакты с 
потенциальными иностранными потребителями своей продукции и услуг, 
провести В2В-встречи и переговоры с релевантными иностранными 
участниками мероприятия. Перевод документов на язык страны-импортера - качественный перевод 
документов экспортера на иностранный язык. Чаще всего переводить нужно на 
английский язык - в частности, при поставках в страны ЕС, Великобританию и 
США. Нередко необходим перевод на немецкий, французский, испанский и даже 
при поставках в страны Африки экзотические языки. Экспортёр не обязан знать 
их - и сегодня вопрос можно легко решить без этих знаний. В переводе на иностранный язык нуждаются коммерческие предложения и 
другие маркетинговые материалы, сертификаты соответствия, договоры 
поставки, счета-фактуры, отгрузочные спецификации, упаковочные листы, 
руководства по эксплуатации, гарантийные обязательства. Разработка коммерческого предложения и презентаций. В ходе разработки коммерческого предложения специалисты, отвечающие 
за подготовку маркетинговых материалов, создают для экспортера концепцию 
его продвижения на международном рынке на основе запрашиваемой у 
экспортера информации о выпускаемой продукции, производственных 
мощностях, складских запасах. Могут понадобиться сведения о реализации 
продукции в России и отзывы потребителей. Будет полезной история экспорта, 
если он уже осуществлялся в прошлом. На передний план коммерческого 
предложения  выносятся  достоинства  экспортируемой  продукции, 
подчеркиваются сильные стороны производителя, учитываются обычаи делового 
оборота и законодательные требования страны-импортера, коммерческое 
предложение адаптируется к ним. "
