id	doc	text
101	2312669.1_VKR Dolmatov 1,2,3..json	" 2D-сейсморазведка сильно пострадала от кризиса 2015–2016 годов. Это 
было связано с сокращением программ геологоразведки небольших нефтяных Второй тенденцией, наблюдаемой на рынке, является рост требований 
заказчиков к операционной эффективности и технологичности 
сейсморазведки. В денежном выражении объем 
рынка составил 124 млн долл. США без учета НДС, из которых 77% 
приходилось на 3D-сейсморазведку. 46 Федеральная служба государственной статистики Росстат https://www.gks.ru (дата обращения: 16.12.2020) 
48 
Ключевым фактором динамики развития рынка сейсморазведки на море 
является введенный в сентябре 2016 года мораторий на продажу новых 
лицензионных участков на шельфе. К 2018 году крупнейшие заказчики сейсморазведки на шельфе — 
«Газпром» и «Роснефть» — выполнили большую часть обязательств по своим 
лицензионным участкам. В результате общий объем рынка в 2019–2020 годах 
в денежном выражении сократился в три раза. Итак, среди крупных и еще нереализованных проектов до 2022 года на 
шельфе остались только Северо‑Врангелевский (совместное предприятие 
«Газпром нефти» и НОВАТЭКа) и Хейсовский участки «Газпром нефти». Остальной спрос будет обеспечен оставшимися небольшими проектами на 
шельфе и в транзитных зонах.  
На фоне развивающегося кризиса в 2020 году количество буровых 
установок во всем мире сократилось на 7,5%, а годовое снижение составило 
11,2%. Поэтому не должны ожидать роста рынка буровых установок в 2021 
году и в России. Компании серьезно сократят частоту обновления парка 
оборудования и предпочтут модернизировать его там, где это возможно47. Сегодня трудно предсказать потери на рынке тяжелых буровых машин. Несмотря на объективно существующий совокупный спрос, который 
составляет более 500 единиц, уровень отечественного производства в 
несколько раз ниже и будет продолжать снижаться под влиянием кризиса. Но 
считаем, что спрос на важные компоненты оборудования и другие 
компоненты, которые позволяют модернизировать оборудование и падение 
рынка будет незначительным. 47 Makar, I. N., Makar, O. A. Efficiency of the electricity market as a factor of economic development of Russia / I. 
N. Makar, O. A. Makar-2019. - №16. - Pp. 2651-2662. За последнее десятилетие нефтегазовые компании активно 
разрабатывают инвестиционные проекты в области добычи и переработки 
нети и газа."
102	2312669.1_VKR Dolmatov 1,2,3..json	" 1600
Однако реализация таких крупных инвестиционных проектов в 
нефтегазовой отрасли не способствует интенсивному росту производства 
                                           
48 Федеральная служба государственной статистики Росстат https://www.gks.ru (дата обращения: 16.12.2020) 
нефтегазового оборудования. Одной из причин этого является отсутствие 
достаточных производственных мощностей. Инвестиционных проектов в производстве нефтегазового оборудования 
мало, большинство из них связано с модернизацией существующих отраслей. Строительство новых скважин, производящих оборудование, идет 
медленными темпами для обеспечения импортозамещения табл. 4. Таблица 4 
Инвестиционные проекты в сфере производства нефтегазового 
оборудования, реализуемые в 2020 году49 
 
Вторая причина-высокая зависимость от импорта российских 
нефтегазовых технологий. Несмотря на то, что крупное оборудование, 
используемое отечественными компаниями для добычи нефти и газа, 
производится преимущественно в России, доля импорта в других сегментах 
рынка высока. rosneft.ru (дата 
обращения: 21.12.2020). Основываясь на данных анализа, оценили стоимость покупки 
оборудования, необходимого для разработки нефтяного месторождения 
                                           
50 Федеральная служба государственной статистики Росстат https://www.gks.ru (дата обращения: 16.12.2020) 
небольшой компанией. Стоит отметить, что при разработке нефтегазовых 
месторождений необходимо бурить не одну, а несколько скважин, где 
находятся сырье. В нашем примере рассмотрим возможность бурения скважин 
для начала разработки месторождения в Волго-Уральской области табл. 5. Таблица 5 
Потребность в нефтепромысловом оборудовании для строительства 
скважин51 
 
                                           
51 Федеральная служба государственной статистики Росстат https://www.gks.ru (дата обращения: 16.12.2020) 
53 
Расчеты использовали данные из доступных открытых источников."
103	2312669.1_VKR Dolmatov 1,2,3..json	" Отсюда средняя стоимость одной скважины буровой точки табл.6. Таблица 6 
Расчет стоимости строительства скважины в 2020 году52 
 
Расчеты использовали данные из доступных открытых источников. Конкретные цены могут отличаться от тех, которые показаны в расчетах. Стоимость строительства и обустройства разведочной скважины в 
Волго-Уральском районе составляет в среднем 42,8 млн рублей, а 
эксплуатационной – 37,2 млн рублей. декан-22,8 млн рублей. Доля 
нефтепромыслового оборудования составит лишь 20 и 23% от этих сумм 
соответственно. Стоимость скважин в северных регионах России почти в 2 
раза выше. Основные затраты на строительство скважин обусловлены 
услугами нефтесервисных компаний, занимающихся бурением. 52 Федеральная служба государственной статистики Росстат https://www.gks.ru (дата обращения: 16.12.2020) 
Основными частями рынка обслуживания нефти являются бурение, 
ремонт скважин, геофизические исследования и сейсмические исследования 
на рынке. Небольшое увеличение означает сокращение добычи на 19% и снижение 
спроса на нефть в мире, что является результатом выполнения российских 
обязательств в рамках соглашения ОПЕК+, из—за сокращения капитальных 
затрат нефтяных компаний упадет на 10-15%. В то время как ценовая 
                                           
53 Федеральная служба государственной статистики Росстат https://www.gks.ru (дата обращения: 16.12.2020) 
конкуренция между подрядчиками росла, требования к качеству работы и 
эффективности работы также росли декомпозиции. Еще одно падение на 10% из-за ослабления рубля. С точки зрения рубля, 
рынок нефтесервисов в 2021 году сократится на 11,5% по сравнению с 
кризисом 2015 года (после падения на 13% к уровню 2014 года). Снижение заказов для нефтесервисных компаний в период кризиса, 
вызванное снижением спроса на нефть, может составить 30-40% и более. Большинство российских нефтяных компаний действительно сократили 
инвестиции из-за пандемии коронавируса и соглашения ОПЕК+. Так, 
капитальные затраты крупнейшей российской компании «Роснефть» в 2021 
году сократятся до 800-850 млрд рублей."
104	2312669.1_VKR Dolmatov 1,2,3..json	" меньше) - об этом 13 ноября в ходе телефонной конференции 
сообщил советник по стратегическому планированию и инвестициям. В 2021 
году компания может сократить добычу на 24 млн тонн в соответствии с 
сделками ОПЕК + (по итогам 2020 года производство компании составило 
около 215 млн тонн)54. ЛУКОЙЛ может сократить инвестиции на $1,5 млрд (около 20% затрат). Позже он подчеркнул, что скидка не распространяется на проекты, которые 
напрямую связаны с геологоразведкой и обеспечением добычи нефти. Однако 
компании также пришлось деконструировать объемы геологоразведки и 
бурения. ЛУКОЙЛ сократит объемы бурения в Западной Сибири, Коми и 
Пермском крае на 20% из-за снижения цен на нефть и сокращения добычи в 
рамках ОПЕК+. Все угрозы будь то потенциальные или реальные можно разделить на 
внешние и внутренние. Однозначно дать ранг опасности и наибольшую 
важность каких-либо групп угроз нельзя, поскольку каждая из них оказывает 
существенное влияние на состояние нефтегазового оборудования. rosneft.ru (дата 
обращения: 21.12.2020). Длительное время одной из важнейших внешних угроз была проблема 
транспортировки каспийской нефти. Регион обладает значительным 
потенциалом: добыча нефти и газа из года в год увеличивается, компания 
проявляют все больший интерес к разработке Каспийских месторождений; 
однако, логистические потоки налажены не в полной мере. В целях 
увеличения реализации добытого сырья организации занимаются поиском 
новых путей транзита топлива. Каждая страна определяет наиболее выгодные 
для себя направления будущих трубопроводов. На данный момент наиболее 
реальными и целесообразными являются два сценария: транспортировка через 
Турцию, Болгарию, Армению, Грузию, Грецию и прикаспийские страны; 
транспортировка через Афганистан, Индийский океан в Европу. Оба сценария 
являются опасными для России, поскольку она остается в стороне от 
транзитных потоков. Стоит отметить, что российские компании значительно распространены 
в данном регионе. Это связано с тем, что себестоимость добычи нефти на 
Каспии ниже, чем в той же Сибири; а транспортировка дешевле в связи с тем, 
что трубопровод короче. Однако если будет построен трубопровод в обход 
России, то ситуация ухудшится. Для обеспечения поставки нефтегазового 
оборудования, Россия должна усилить свои позиции, поддерживать 
положение, контролировать действия государств, имеющих свои интересы в 
отношении данного региона; предлагать конструктивные решения, 
защищающие безопасность государства."
105	2312669.1_VKR Dolmatov 1,2,3..json	" Основным импортером российских нефтепродуктов является именно Европа, 
поэтому ограничения, проявляющиеся наряду со снижением энергетической 
зависимости стран от российской нефти, наносят существенный урон 
безопасности государства. Пока позиция Европейского Союза остается 
неизменной – угроза закупки оборудования. Кроме того, элементом санкций 
стал запрет на использование импортных нефтегазовых технологий 
российскими компаниями – новые научные достижения, позволяющие 
Можно сказать, что в результате действия санкций, Россия оказалась 
исключена из системы МРТ, и применяемая в России модель «поставка сырья 
– получение оборудования» сыграла «злую шутку». Российская экономика 
зависит от иностранных технологий, отсутствие каналов их получения 
наносит серьезный ущерб всем экономическим процессам. Решением данной 
проблемы является развитие собственного научного потенциала, 
использования отечественного оборудования, как например, компания 
«Сургутнефтегаз». Следующей не менее опасной угрозой является нефтяной терроризм. По 
данным ООН около 80% денежных средств террористы получают за счет 
торговли нефтью. В 2014 году Европейский парламент подготовил отчет, в 
котором заявил о том, что некоторые страны ЕС покупают нефть у боевиков 
ИГ. Однако ООН считает, что в ближайшее время данную проблему удастся 
побороть, так за 2016 год доходы террористов от продажи нефти упали в два 
раза до 260 млн. долл. в результате военного давления. Среди угроз, наносящих наибольший ущерб экономики, можно 
«теневую нефтянку» – экономические преступления, продвигаемые 
руководителями легальных компаний. Согласно данным Департамента 
экономической безопасности, именно нефтегазовая отрасль отличается 
наибольшим количество экономических преступлений. В целом данные 
преступления можно классифицировать на три группы: это уклонение от 
уплаты налогов (реализация готовой продукции под видом полуфабрикатов); 
незаконное извлечение сверхприбыли путем добычи сырья сверх 
предусмотренных федеральными лицензиями нормативов; использование 
трансфертных цен для минимизации налогообложения. Среди реальных внутренних угроз можно также выделить увеличение 
объема устаревшей морально изношенной техники и дефицит инвестиций в 
нефтегазовом секторе, отсутствие инновационного развития. Для 
предотвращения вышеперечисленных угроз необходимо эффективное 
финансовое стимулирование для проведения исследований, поощрение 
компаний, которые внедряют и развивают отечественные технологии; 
внедрение различных инвестиционных программ. Наиболее опасные потенциальные угрозы – вероятность стихийных 
бедствий, аномалий природы; возможность диверсий, террористических 
актов."
106	2312669.1_VKR Dolmatov 1,2,3..json	" Устранить угрозы возможно путем совершенствования системы контроля, 
разработки мероприятий по предотвращению преступлений на нефтегазовых 
объектах – развитие института управления нефтегазовыми объектами для их 
безопасного функционирования55. Таким образом, деятельность нефтегазового сектора сталкивается с 
большим количеством угроз. Из года в год напряженные отношения России и 
Европейских стран данные проблемы лишь усугубляют, подрывая основы 
экономической безопасности отрасли и всей экономики в целом. Необходимо 
проведение комплекса мер, как части стратегии развитии нефтегазовой 
промышленности, для минимизации угроз экономической безопасности. Итак, подведя итоги второй главы, можно утверждать, что нынешнее 
распространение новой коронавирусной инфекции уже девальвировало нефть, 
привело к сокращению инвестиционных программ нефтегазовых предприятий 
и финансированию проектов по созданию отечественных нефтяных решений. 55 Краюшкина М.В. Экономика и управление нефтегазовым производством: учебное пособие. - Ставрополь: 
Изд-во СКФУ, 2017. - 156 с. 
Так как российские нефтяные компании в первую очередь сократят 
инвестиции в разработку нового оборудования для добычи углеводородов. В начале этого года крупные российские производители нефтегазового 
оборудования столкнулись с ухудшением поставок комплектующих из-за 
рубежа и вынуждены были переориентироваться на поставки из Китая. Отметим, что производство отечественного оборудования для добычи 
нефти и газа в первом полугодии текущего года может вырасти более чем на 
3-3, 5%, а за год отрасль может потерять 5-6% своих доходов. Больше 
прогнозов, если цены на нефть не вернутся к уровню около $ 50 миллиард 
долларов за баррель может привести к длительной рецессии отрасли и 
накоплению промышленно развитых стран.  
До настоящего времени обеспечение нефтегазового комплекса 
оставалось наиболее устойчивыми к ограничительным мерам, предпринятым 
в рамках противодействия COVID-19. В 2021 году ожидается, что 
использование нефтегазового оборудованием вырастет на 1,5% по сравнению 
с показателями периода 2020 г. Производство нефтегазового комплекса 
вырастет на 3%, главным образом благодаря завершению начатым проектам. Согласно прогнозу, Росстат, отмечено увеличение спроса 
нефтегазового оборудованием на 1% по итогам 2020 г. Производство нефти 
вырастет на 5%, несмотря на все сложности с производственно-сбытовыми 
цепочками, а также задержками в строительстве, вызванными 
распространением COVID-19."
107	2312669.1_VKR Dolmatov 1,2,3..json	" В целом отмечается снижение роста по сравнению с 
прошлогодними показателями, однако данная тенденция на замедление 
сохраняется с 2020 г56. Согласно данным доклада Wärtsilä Energy Transition Lab, влияние 
кризиса COVID-19 ускорило переход на новых поставщиков по обеспечению 
нефтегазового оборудованием в краткосрочной перспективе. Отметим, что 
появилась уникальная возможность для отслеживания работы 
технологических систем в нефтяной сфере. Сегодня наблюдается рост доли реализации технологического 
оборудования в нефтегазовой сфере по некоторым европейским странам: в 
                                           
56 Федеральная служба государственной статистики Росстат https://www.gks.ru (дата обращения: 16.12.2020) 
Великобритании на долю технологического оборудования приходится 43% от 
общей выработки нефти (на 10% выше, чем за аналогичный период с 10 марта 
по 10 апреля 2020 г.), в Германии – 60% (рост 12%), в Испании – 49%. Одновременно сокращается доля угольной генерации: в Великобритании 
отмечено снижение на 35%, в Германии – на 44%, в Испании – на 41%. Полагаем, что влияние кризиса COVID-19 для технологического 
оборудования в нефтегазовой сфере зависит от двух факторов: срока действия 
мер изоляции и социального дистанцирования в различных странах, а также 
масштабов и сроков оказания стимулирующей экономической помощи. Обозначаются три основных вызова в условиях распространения кризиса57: 
- разрывы производственно-сбытовых цепочек, которые могут 
привести к задержкам в реализации проектов; 
- риск невозможности дальнейшего использования мер 
государственной поддержки, действие которых закончились в 2020 г.; 
- вероятное снижение инвестиций по причине давления на 
государственные и частные бюджетные возможности вместе с 
неопределенностью по поводу будущего спроса на энергоресурс. Разрывы производственно-сбытовых цепочек повлияют на некоторые 
уязвимые производства оборудования. Согласно энергетической политики России дальнейшее развитие 
нефтегазового комплекса нуждается в решении ряда вопросов:  
- обеспечение восстановления ресурсной базы нефтегазовой 
промышленности; 
- рациональное использования получаемого сырья;  
- поддержание безопасности нефтегазового сектора;  
- расширение влияние российских предприятий на мировой арене;  
- рост и модернизация месторождений."
108	2312669.1_VKR Dolmatov 1,2,3..json	" научн. журн. 2019. № 34(78). 62 
Стратегической задачей развития нефтегазового комплекса страны 
является модернизация технологических процессов поиска, разведки, 
освоения месторождений, добычи сырья. Приоритетным направлением прироста ресурсов и запасов нефтегазвой 
продукции выступает проведение геологоразведочных работ (ГРР) в 
отложениях баженовской свиты Западной Сибири и в доюрских отложениях 
Восточной Сибири. Долгосрочное развитие нефтегазовой сферы связаны с 
уменьшением добычи нефти и газа на месторождениях Европейской части 
России,и с постепенным переходом к использованию природно-ресурсного 
потенциала Сибири и Дальнего Востока. Однако достичь необходимо уровня 
добычи остается на данный момент невозможным, в связи с низкими темпами 
строительства логистических потоков. Также, происходит изменение структуры минерально-сырьевой базы и 
разрабатываемых месторождений. Упор на крупные месторождения 
заменяется большим количеством мелких и труднодоступных месторождений. Приоритетными задачами нефтегазового сектора в поиске, разведки и 
разработке месторождений нефти и газа РФ в ближайшее время являются: 
- садочные бассейны шельфа Северного Ледовитого океана; 
- слабо изученные провинции на суше; 
- до сих пор не введенные в разработку крупные месторождения в районе 
Сибири и Дальнего Востока; 
- уникальные ресурсы нефти нетрадиционных источников; 
- рациональное использование остаточных запасов используемых 
месторождений; 
- поиск, разведка и разработка новых месторождений в существующих 
нефтегазовых бассейнах. Перспективные уровни добычи нефти и газа определяются следующими 
факторами – спрос на сырье и уровень мировых цен на него, развитость 
транспортной инфраструктуры, налоговые условиями и научно-технические 
достижениями в разведке и разработке месторождений, качество разведанной 
сырьевой базы58. Согласно исследованиям, к 2021 году месторождения Западной Сибири 
останутся лидирующими в добыче нефти, однако их доля сократится 
примерно до 55% (на данный момент около 70%); на Восток будет приходится 
около 15-20% запасов (на данный момент 10%). Перспективные объемы 
добычи нефти при благоприятном социально-экономическом развитии страны 
в 2021 составят около 520 млн. тонн., а при умеренном варианте СЭР около 
450 млн. тонн. В любом случае, наиболее важной задачей является сохранение 
необходимой структуры запасов (в том числе территориальной), наращивание 
добычи со стабилизацией её уровня на долгосрочную перспективу."
109	2312669.1_VKR Dolmatov 1,2,3..json	" При проведении интенсивных ГРР сырьевая база 
позволит добывать около 80 млн. тонн нефти в Восточной Сибири и на 
Дальнем Востоке. При этом на шельфе острова Сахалин добыча нефти при 
благоприятных условиях составит порядка около 25 млн. тонн, при 
критических – около 16 млн. тонн. Развитие газовой промышленности будет осуществляться за счет 
месторождений Тюменской, Томской, Оренбургской и Астраханской 
областей. Также, ожидается создание новых месторождений в Восточной 
Сибири и на Дальнем Востоке. В дальнейшем возможны формирование и 
экспорт потоков газа из этих районов. Кроме того, одним из направлений ГРР 
по добыче газа является освоение акватории морей и океанов. Сейчас открыто 
около 50 газовых морских месторождений, в то время как за рубежом 
аналогичных месторождений свыше 2000. Такой разрыв связан со слабым и 
неравномерным изучением акватории морей. Развитие морских ГРР по добыче 
газа рассматривается как важнейшее перспективное направление, которое 
                                           
58 Agabek, V. E. Oil and gas: technologies and products of processing / V. E. Agabek, V. K. Kosyak: Phoenix, 2019. - 458 p. 
Согласно исследованиям, к 2021 году объем добычи газа России 
составит около 710 млрд. м3. Основной газодобывающий район Надым-Пур-
Тазовский к 2020 году будет обладать около 60% добычи российского газа. С 12 по 21 апреля в АО «Экспоцентр» проходила 17-я международная 
выставка «Оборудование и технологии для нефтегазового комплекса», в ходе 
которой осуждались технологические и инновационные проблемы развития 
нефтегазового сектора. Выставка «Нефтегаз» из года в год предоставляет 
возможность получить информацию о перспективах развития комплекса. Это 
поле для демонстрации собственных технологий, заключения выгодных 
контрактов и решения ряда маркетинговых вопросов. В период пандемии многие процессы во всем мире привязаны к кривой 
заболеваемости, и сфера недропользования не является исключением."
110	2312669.1_VKR Dolmatov 1,2,3..json	" Реагирование (защита): защита работников, защита бизнеса, вклад в 
более широкие усилия по борьбе с пандемией. На этом этапе формирование и 
поддержание доверия заинтересованных сторон очень важно. Прозрачность и 
коммуникация являются ключевыми моментами, и компании должны 
гарантировать, что выполнят свои обещания. Обеспечение сохранности 
цепочки поставок также имеет решающее значение. Партнерские отношения, 
которые поддерживаются или укрепляются на этом этапе, становятся 
жизненно важными для движения на следующих этапах. 2. Управление (адаптация): определение новых приоритетов, 
перераспределение бюджетов и ресурсов, повышение операционной 
эффективности, смягчение протоколов физического дистанцирования. 59 Makar, I. N., Makar, O. A. Efficiency of the electricity market as a factor of economic development of Russia / I. 
N. Makar, O. A. Makar-2019. - №16. - Pp. 2651-2662. 3. Результативность и удобство, которые обеспечивают новые решения 
по автоматизации и дистанционной работе, сделают их постоянной частью 
операций и после пандемии. Они станут катализаторами долгосрочных 
структурных изменений в работе нефтегазового сектора. Это создаст более 
рациональные, устойчивые и более безопасные операционные результаты. Восстановление (рост): пересмотр стратегий, новые операционные 
модели, технологическое партнерство, реагирование на долгосрочные 
последствия пандемии, формирование новой ценности. Таким образом, основным перспективным направлением развития 
нефтегазового комплекса является освоение новых месторождений, 
преимущественно в Западной Сибири и на Дальнем Востоке. Районы 
обладают весомым потенциалом и способны обеспечивать экономику 
значительным количеством ресурсов. Однако реализация данных задач 
осложняется отсутствием сформированных логистических потоков, что 
является препятствием к усилению обеспечения экономической безопасности.  
Зависимость российской нефтегазовой отрасли от импорта 
оборудования и технологий имеет исторические причины и формируется на 
протяжении многих лет. Секторальные санкции, введенные в 2014 году, стали 
отправной точкой для развития политики импортозамещения в России. Была 
разработана отраслевая программа импортозамещения, целью которой было 
сокращение импортной составляющей в наиболее важных областях. В рамках программы импортозамещения в нефтегазовой отрасли 
Минэнерго выделило двенадцать приоритетных направлений, разделенных на 
три основных этапа. Краткосрочные цели повлияли на развитие технологии в 
гидравлическом разрыве и наклонном направленном бурении."
